Year;tmax01;tmax02;tmax03;tmax04;tmax05;tmax06;tmax07;tmax08;tmax09;tmax10;tmax11;tmax12
2000;8.9;13.4;14.8;16.4;21.6;24.4;24.1;27.1;24.3;18.0;13.7;13.3
2001;11.1;11.7;15.3;15.0;21.4;24.6;25.3;26.8;21.5;21.7;11.7;7.8
2002;11.8;13.2;15.8;17.8;19.6;23.8;24.5;24.1;23.2;19.3;14.6;12.1
2003;8.4;10.3;17.6;19.0;20.9;27.0;27.3;29.0;24.7;17.0;15.0;10.8
2004;10.6;11.6;13.3;16.2;20.3;25.9;25.5;26.0;24.6;19.8;12.2;9.5
2005;10.1;8.2;14.5;17.1;21.4;27.2;26.9;26.3;23.9;21.2;12.3;7.7
2006;8.4;8.9;14.0;17.5;20.9;26.6;30.0;24.0;25.6;21.4;16.4;9.9
2007;11.6;13.9;14.4;20.1;20.3;23.4;24.0;24.5;22.8;18.2;12.3;10.1
2008;12.2;14.2;13.1;16.3;21.9;23.6;25.7;24.9;22.0;18.4;12.5;9.2
2009;8.7;11.3;15.0;17.2;21.9;25.2;26.2;28.3;24.4;20.2;15.5;10.4
2010;7.1;10.0;13.7;19.3;19.4;24.2;27.8;25.7;23.6;18.6;12.5;7.8
2011;9.4;12.5;15.9;21.4;23.8;23.9;24.3;26.2;25.5;20.5;16.6;12.7
2012;10.7;7.5;17.6;15.3;21.7;23.6;25.0;28.2;24.3;19.1;14.0;11.8
2013;9.2;9.1;13.1;16.8;17.1;22.1;29.1;26.8;24.2;20.5;12.6;11.4
2014;12.5;13.1;16.5;19.0;19.6;25.6;25.6;24.0;26.0;21.9;16.4;10.4
2015;10.3;10.3;14.6;19.7;21.0;26.1;27.9;27.1;22.3;18.4;16.5;13.9
2016;12.1;12.4;13.7;16.4;20.3;23.2;26.7;28.4;26.2;18.8;14.0;11.3
