Year.GHD;Bor;Bur;Cha2;LLV;Spa;Swi
1566;NA;25.75;NA;NA;42.0;29.0
1567;NA;14.75;NA;NA;39.0;41.0
1568;NA;24.75;NA;NA;48.0;46.6
1569;NA;20.75;NA;NA;NA;50.0
1570;NA;31.50;NA;NA;NA;52.6
1571;NA;NA;NA;NA;NA;27.6
1572;NA;15.50;NA;NA;52.0;32.6
1573;NA;35.75;NA;NA;49.0;53.6
1574;NA;25.25;NA;NA;45.0;34.6
1575;NA;19.75;NA;NA;39.0;38.0
1576;NA;30.25;NA;NA;55.0;46.6
1577;NA;27.25;NA;NA;47.0;43.0
1578;NA;16.25;NA;NA;32.0;43.6
1579;NA;33.25;NA;NA;38.0;52.6
1580;NA;23.75;NA;NA;43.0;32.6
1581;NA;28.75;NA;NA;35.0;40.5
1582;NA;24.50;NA;NA;44.0;26.7
1583;NA;6.75;NA;NA;31.0;25.3
1584;NA;20.25;NA;NA;33.0;37.0
1585;NA;30.50;NA;NA;53.0;44.6
1586;27.0;28.75;NA;NA;35.0;36.0
1587;32.0;38.75;NA;NA;30.0;40.5
1588;24.0;20.50;NA;NA;33.0;40.0
1589;NA;25.25;NA;NA;39.0;30.8
1590;NA;8.75;NA;NA;43.0;20.0
1591;33.5;28.50;NA;NA;44.0;42.6
1592;26.0;28.25;NA;NA;42.0;46.0
1593;33.5;28.50;NA;NA;36.0;44.6
1594;47.8;27.75;NA;NA;37.0;48.4
1595;29.5;21.50;NA;NA;32.0;42.9
1596;36.3;36.75;NA;NA;52.0;47.6
1597;41.5;38.25;NA;NA;45.0;45.6
1598;31.5;20.25;NA;NA;35.0;35.6
1599;20.5;6.75;NA;NA;31.0;24.0
1600;50.5;40.75;NA;NA;32.0;48.6
1601;35.5;31.25;NA;NA;52.0;45.8
1602;23.5;19.25;NA;NA;35.0;27.5
1603;20.8;2.75;NA;NA;31.0;17.6
1604;NA;15.25;NA;NA;35.0;29.0
1605;33.5;15.25;NA;NA;NA;26.8
1606;45.5;29.75;NA;NA;28.0;49.6
1607;29.5;16.25;NA;NA;33.0;34.5
1608;41.5;28.25;NA;NA;40.0;43.6
1609;21.5;21.75;NA;NA;46.0;38.6
1610;27.3;14.75;NA;NA;35.0;22.6
1611;19.0;6.75;NA;NA;37.0;19.6
1612;32.0;27.75;NA;NA;40.0;36.8
1613;34.0;21.25;NA;NA;38.0;38.6
1614;NA;32.25;NA;NA;30.0;43.6
1615;27.5;14.25;NA;NA;22.0;28.0
1616;29.5;8.25;NA;NA;24.0;16.6
1617;24.5;28.25;NA;NA;42.0;54.3
1618;36.0;30.25;NA;NA;38.0;46.6
1619;NA;21.25;NA;NA;42.0;29.6
1620;38.0;24.75;NA;NA;39.0;42.0
1621;45.0;42.25;NA;NA;49.0;63.5
1622;NA;20.75;NA;NA;26.0;41.0
1623;25.0;12.25;NA;NA;39.0;34.5
